YYYYMM,행정동코드,년도,월,행정동_명칭,자치구_명칭,생활비용지수_등급,생활비용지수
202501,1159060500,2025,1,흑석동,동작구,3,9.209303600885503
202501,1159062000,2025,1,사당1동,동작구,3,9.226221721110592
202501,1159063000,2025,1,사당2동,동작구,3,9.30673957196575
202501,1159064000,2025,1,사당3동,동작구,3,8.660715662833708
202501,1159065000,2025,1,사당4동,동작구,3,9.056825319638325
202501,1159065100,2025,1,사당5동,동작구,4,8.265380466101016
202501,1159066000,2025,1,대방동,동작구,3,9.072080719641106
202501,1159067000,2025,1,신대방1동,동작구,3,8.74075309486977
202501,1159068000,2025,1,신대방2동,동작구,3,8.965920195974183
202501,1162052500,2025,1,보라매동,관악구,3,8.739592689081245
202501,1162054500,2025,1,청림동,관악구,4,8.367213830546863
202501,1162056500,2025,1,성현동,관악구,4,8.412033634702095
202501,1162057500,2025,1,행운동,관악구,3,8.882428502852912
202501,1162058500,2025,1,낙성대동,관악구,3,9.056557232061088
202501,1162059500,2025,1,청룡동,관악구,3,9.133252458003469
202501,1162060500,2025,1,은천동,관악구,3,8.830076445044911
202501,1162061500,2025,1,중앙동,관악구,3,9.158083228652249
202501,1162062500,2025,1,인헌동,관악구,3,9.01737598793309
202501,1162063000,2025,1,남현동,관악구,3,8.899589667383946
202501,1162064500,2025,1,서원동,관악구,3,9.20624529775822
202501,1162065500,2025,1,신원동,관악구,3,8.72598434398999
202501,1162066500,2025,1,서림동,관악구,3,8.432055063437106
202501,1162068500,2025,1,신사동,관악구,3,8.94820551477294
202501,1162069500,2025,1,신림동,관악구,3,9.23193944403948
202501,1162071500,2025,1,난향동,관악구,4,8.142036859641804
202501,1162072500,2025,1,조원동,관악구,3,9.300732792028908
202501,1162073500,2025,1,대학동,관악구,3,8.603980776891124
202501,1162074500,2025,1,삼성동,관악구,4,8.382747625839832
202501,1162076500,2025,1,미성동,관악구,3,8.687982783785486
202501,1162077500,2025,1,난곡동,관악구,3,8.584560012298255
202501,1165051000,2025,1,서초1동,서초구,3,9.413204013132669
202501,1165052000,2025,1,서초2동,서초구,2,9.728419241715654
202501,1165053000,2025,1,서초3동,서초구,2,9.478972266932674
202501,1165053100,2025,1,서초4동,서초구,2,9.911708123680928
202501,1165054000,2025,1,잠원동,서초구,2,9.50111785064739
202501,1165055000,2025,1,반포본동,서초구,3,9.25554532959109
