행정동코드,행정동이름,AREA_M2,LAT,LON
1147062000,신정1동,739881,126.85963,37.51888
1147063000,신정2동,648695,126.87518,37.51895
1147064000,신정3동,3169421,126.8394,37.51178
1147065000,신정4동,996239,126.85757,37.52541
1147067000,신정6동,926759,126.86964,37.51591
1147068000,신정7동,1143920,126.86468,37.51012
1150051000,염창동,2389890,126.87543,37.55321
1150052000,등촌제1동,658950,126.85963,37.55586
1150053000,등촌제2동,895367,126.86003,37.54574
1150053500,등촌제3동,1042691,126.84634,37.56105
1150054000,화곡제1동,1192600,126.84094,37.53378
1150055000,화곡제2동,456930,126.85437,37.53228
1150056000,화곡제3동,526606,126.83427,37.54406
1150057000,화곡제4동,855978,126.85858,37.5361
1150059000,화곡본동,982074,126.84816,37.54257
1150059100,화곡제6동,1062894,126.85117,37.55172
1150059300,화곡제8동,575541,126.84863,37.53422
1150060300,가양제1동,5543738,126.83435,37.5731
1150060400,가양제2동,1012806,126.85401,37.56866
1150060500,가양제3동,932533,126.8623,37.56268
1150061100,발산제1동,2963745,126.82558,37.55045
1150061500,우장산동,1245257,126.84102,37.55057
1150062000,공항동,11581226,126.79496,37.55649
1150063000,방화제1동,1487371,126.81755,37.56864
1150064000,방화제2동,5640487,126.80451,37.5838
1150064100,방화제3동,1979329,126.81553,37.58158
1153051000,신도림동,1376469,126.88285,37.50973
1153052000,구로제1동,1083279,126.87546,37.49303
1153053000,구로제2동,1809928,126.87949,37.49745
1153054000,구로제3동,1043117,126.89498,37.48488
1153055000,구로제4동,516496,126.8902,37.49154
1153056000,구로제5동,1023242,126.88848,37.50203
1153059500,가리봉동,408284,126.88826,37.48256
1153072000,고척제1동,1132884,126.8634,37.50066
1153073000,고척제2동,997120,126.85331,37.50585
1153074000,개봉제1동,1126936,126.84988,37.49988
1153075000,개봉제2동,815642,126.85636,37.49273
1153076000,개봉제3동,848662,126.85241,37.48684
1153077000,오류제1동,747283,126.84163,37.49696
1153078000,오류제2동,3081182,126.83837,37.48526
1153079000,수궁동,2630691,126.82607,37.49828
1153080000,항동,1431213,126.82449,37.48103
1154551000,가산동,2244201,126.88434,37.47684
1154561000,독산제1동,1964400,126.89272,37.4642
1154562000,독산제2동,616195,126.90255,37.46383
1154563000,독산제3동,945991,126.90459,37.47593
1154564000,독산제4동,619603,126.90405,37.46922
1154567000,시흥제1동,1476950,126.90015,37.45289
1154568000,시흥제2동,1180173,126.92007,37.45059
1154569000,시흥제3동,1335878,126.90593,37.44028
1154570000,시흥제4동,771262,126.90911,37.46008
1154571000,시흥제5동,1426902,126.91243,37.44875
1156051500,영등포본동,808233,126.9097,37.51372
1156053500,영등포동,1415805,126.90784,37.52152
1156054000,여의동,6656365,126.92757,37.52749
1156055000,당산제1동,743499,126.89685,37.52393
1156056000,당산제2동,1564124,126.90391,37.53298
1156058500,도림동,549811,126.90124,37.50928
1156060500,문래동,1742935,126.89147,37.51638
1156061000,양평제1동,864764,126.88707,37.52507
1156062000,양평제2동,1892053,126.89418,37.5406
1156063000,신길제1동,811808,126.91951,37.51234
1156065000,신길제3동,480412,126.90589,37.50645
1156066000,신길제4동,288284,126.91292,37.50728
1156067000,신길제5동,530930,126.90555,37.50112
1156068000,신길제6동,679799,126.91354,37.49916
1156069000,신길제7동,548054,126.9198,37.5058
1156070000,대림제1동,481705,126.90526,37.49377
1156071000,대림제2동,578880,126.90064,37.48963
1156072000,대림제3동,937514,126.89727,37.49987
1159051000,노량진제1동,1878710,126.94915,37.51303
