YYYYMM,행정동_ID,승객_수
202604,11250580,549605
202604,11250590,324258
202604,11250610,422910
202604,11250630,157376
202604,11250650,512445
202604,11250660,2027430
202604,11250670,155094
202604,11250700,661705
202604,11250710,635065
202604,11250720,93900
202604,11250730,316017
202604,11250740,625724
202604,11250750,312034
202604,11250760,805590
202604,11250770,72531
