YYYYMM,행정동코드,생활비용지수,생활비용지수_lag1,생활비용지수_lag2,생활비용지수_lag3,생활비용지수_roll3_mean,생활비용지수_roll3_std,생활비용지수_change1,생활비용지수_change3_mean,YEAR,MONTH,MONTH_SIN,MONTH_COS,KOSPI_lag1,M2_lag1,FX_lag1,HOUSE_SALE_lag1,RENT_SALE_lag1,당월_매출_금액_lag1,생활인구합계_lag1,전체승객수_lag1,아파트_평균_시가_lag1,AREA_M2,LAT,LON,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적
202411,1114058000,9.088428836101489,9.074300640561557,9.089563900703498,9.046283864476711,9.070049468580589,0.021950961968825157,-0.001679207089435808,-0.002160264066717469,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,21910121966.0,8629031.0,551393.0,186105513.0,1003083,127.00228,37.55561,160,1262,78.0,22,12.0,28.0,45.0
202411,1114059000,9.786851579918514,9.77942114591653,9.811853469100203,9.771547890873324,9.787607501963352,0.02136345543316382,-0.0033054226997794034,0.023500368373792508,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,166000000000.0,18845735.0,1652052.0,193927273.0,752739,127.00363,37.5652,10,61,18.0,6,0.0,0.0,51.0
202411,1114060500,10.282903516385195,10.264098874818783,10.292653943650503,10.182216048029932,10.24632295549974,0.057324686462316476,-0.0027743154475076137,0.015748462356912112,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,238000000000.0,13561324.0,1827642.0,457909091.0,599530,126.99649,37.56664,1,0,11.0,0,0.0,0.0,85.0
202411,1114061500,9.58851577596288,9.53449260811334,9.535037339333424,9.580610975181846,9.550046974209536,0.02647060255457004,-5.712942704882984e-05,-0.02368305098429942,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,69878152346.0,12814165.0,870733.0,202648861.0,541354,127.01377,37.56575,36,194,71.0,3,0.0,0.0,49.0
202411,1114062500,9.273498453789378,9.2185044222231,9.196353582426356,9.18482423099159,9.199894078547016,0.0171169551887331,0.002408654647541253,-0.018966897423343787,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,40665824706.0,9659671.0,119495.0,207881680.0,546686,127.00826,37.5547,374,2274,423.0,116,44.0,99.0,64.0
202411,1114063500,9.260373542727876,9.238840664871049,9.232410545523113,9.224026673739187,9.231759294711116,0.007428437186166218,0.0006964724235594133,0.0016686784949115907,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,26762927661.0,10351962.0,697063.0,382587628.0,511938,127.01024,37.54984,125,617,398.0,195,9.0,0.0,68.0
202411,1114064500,8.965468507950083,8.931936406647353,8.967532311727412,8.65386829699828,8.851112338457682,0.17174305235742623,-0.0039694203313334064,-0.009718633447920419,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,9423634738.0,5990209.0,79794.0,433917253.0,330066,127.01499,37.55686,74,346,236.0,108,1.0,0.0,68.0
202411,1114065000,9.394609087299523,9.381659931437236,9.385874819896442,9.176054458987007,9.314529736773562,0.11994162430002585,-0.00044906719299842024,0.014236051475591852,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,27872298783.0,7863146.0,192815.0,382417416.0,315652,127.02202,37.56358,64,398,229.0,40,0.0,0.0,59.0
202411,1114066500,9.302120662588733,9.272598557980835,9.268778960808993,9.547006833925074,9.362794784238302,0.15954374562479978,0.00041209281049781055,-0.004808341885085943,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,25618016776.0,9532774.0,273032.0,562530704.0,344934,127.01867,37.56059,59,169,297.0,115,56.0,0.0,83.0
202411,1114067000,9.516185210906974,9.49511245713585,9.534161341459807,9.57082808127202,9.533367293289226,0.03786405708525365,-0.004095681090915848,0.006021460858761689,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,53419061720.0,10282373.0,129482.0,320745114.0,314878,127.0208,37.56842,29,186,79.0,31,5.0,0.0,60.0
202411,1114068000,9.387551541249096,9.359037268111038,9.362494921902371,9.262664201445714,9.328065463819707,0.05666553346187807,-0.0003693090164721413,-0.00612201117779454,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,34440780437.0,9290409.0,162067.0,368461445.0,492309,126.96596,37.55732,88,427,216.0,63,2.0,1.0,60.0
202411,1117051000,9.080595734859193,9.052711048666453,9.06317711412941,8.969067148251437,9.028318437015766,0.05157926954450009,-0.0011547899076848056,-0.005966117829540781,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,21900762464.0,9014811.0,200263.0,292755194.0,865282,126.98059,37.54994,370,1811,818.0,104,84.0,60.0,63.0
202411,1117052000,8.828002961973818,8.802547193537473,8.789908092073203,8.605419610564184,8.73262496539162,0.11034418174075306,0.0014379105369335399,-0.009466597955852954,2024,11,-0.5000000000000004,0.8660254037844384,2596.11,3857079.5,1361.0,92.177,96.754,13941357067.0,9095810.0,678228.0,204859436.0,2045385,126.98353,37.54024,281,1403,175.0,10,4.0,1.0,49.0
