YYYYMM,행정동코드,생활비용지수
202411,1130561500,9.264601293447436
202411,1130562500,8.80060906880897
202411,1130563500,9.27188367078952
202411,1130564500,8.76356172547124
202411,1130566000,8.473883906866346
202411,1132051100,8.938780246866274
202411,1132051200,8.506584782391041
202411,1132051300,8.885781981872281
202411,1132051400,8.749162468675081
202411,1132051500,9.346798830327169
202411,1132052100,8.894935963799602
202411,1132052200,8.445013001240925
202411,1132066000,8.467836509002463
202411,1132067000,8.84104720585771
202411,1132068000,9.064527789937848
202411,1132068100,8.549327330272776
202411,1132069000,9.063504096316304
202411,1132070000,9.328486722038509
202411,1132071000,8.441881817738366
202411,1135056000,8.689336282803296
202411,1135057000,8.106863002216794
202411,1135058000,8.33876905083897
202411,1135059500,9.009537017855358
202411,1135060000,8.684703242526552
202411,1135061100,9.104819336936025
202411,1135061200,8.190688739398778
202411,1135061900,9.073658322359869
202411,1135062100,8.548443558960418
202411,1135062400,9.206374330529862
202411,1135062500,9.226108773604016
202411,1135063000,8.836065523069276
202411,1135064000,9.506627070896077
202411,1135066500,8.416757761306306
202411,1135067000,8.94046091072647
202411,1135069500,9.406638213714176
202411,1135070000,8.706578569659541
202411,1135071000,8.880158407215982
202411,1135072000,8.346171925416003
202411,1138051000,8.853112517984783
202411,1138052000,8.923975675606501
202411,1138053000,8.74519146803002
202411,1138055100,9.31448127874176
202411,1138055200,9.131355128509648
202411,1138056000,8.323205040383623
202411,1138057000,9.111160130564146
202411,1138058000,8.862753184807488
202411,1138059000,8.673984339948907
202411,1138060000,9.055052651969838
202411,1138062500,8.599045182674686
202411,1138063100,8.72704336281786
202411,1138063200,8.47081156746953
202411,1138064000,8.842960715194177
202411,1138065000,8.264106412113511
202411,1138069000,8.538473076117418
202411,1141052000,9.071624446840246
202411,1141055500,9.241278761194968
202411,1141056500,8.953396834458838
202411,1141058500,9.139956962097353
202411,1141061500,8.884233511346665
202411,1141062000,8.670483434511121
202411,1141064000,9.282749746708305
202411,1141065500,8.765687664467269
202411,1141066000,8.761244864177158
202411,1141068500,8.63947391979574
202411,1141069000,9.260676287856656
202411,1141070000,8.790111484639505
202411,1141071000,8.335503256874741
202411,1141072000,8.848688012208983
202411,1144055500,9.320970299674723
202411,1144056500,9.161653680188804
202411,1144058500,9.479681807687728
202411,1144059000,9.723949597926156
202411,1144060000,9.43798066781616
202411,1144061000,8.798376419062109
202411,1144063000,8.675150469882993
202411,1144065500,8.969864543628162
202411,1144066000,9.786276030695843
202411,1144068000,9.343891054236591
202411,1144069000,9.212466379358114
202411,1144070000,9.053916784806123
202411,1144071000,9.150698086286551
