기준_년분기_코드,행정동코드,당월_매출_금액,당월_매출_건수
20192,1121578000,21765645300,892269
20192,1121581000,24514804475,1326153
20192,1121582000,28904920474,1668236
20192,1121583000,14148210877,854062
20192,1121584000,49665884320,2802769
20192,1121584700,39067004983,1945446
20192,1121585000,41934399357,2089780
20192,1121586000,22120911109,1170264
20192,1121587000,132958126278,3589429
20192,1123053600,77568767903,3252105
20192,1123054500,280990928643,6227509
20192,1123056000,27240803975,1644856
20192,1123057000,12177981804,1363498
20192,1123060000,21797538953,773462
20192,1123061000,21997366607,898240
20192,1123065000,100523464920,2915815
20192,1123066000,60478640155,2495089
20192,1123070500,31753121512,1354848
20192,1123071000,27578888927,2533496
20192,1123072000,17551909128,1039689
20192,1123073000,12371514218,734074
20192,1123074000,26834247000,2848317
20192,1123075000,6286006690,446661
20192,1126052000,16278370675,757711
20192,1126054000,9584746154,475532
20192,1126055000,9713407168,320297
20192,1126056500,41660340515,2301588
20192,1126057000,30390503694,1823041
20192,1126057500,26376658150,1700045
20192,1126058000,52378526368,1462384
20192,1126059000,50493979456,2607406
20192,1126060000,7880317476,385456
20192,1126061000,35923057891,1395075
20192,1126062000,28407601632,1355049
20192,1126063000,23195771433,1348191
20192,1126065500,48750701992,2159737
20192,1126066000,10605940915,560063
20192,1126068000,43423400814,1594172
20192,1126069000,21188278320,1247764
20192,1129052500,17358568950,735060
20192,1129055500,41782867368,2419041
20192,1129057500,51784924939,3088348
20192,1129058000,4451378339,209807
20192,1129059000,4984339049,371988
20192,1129060000,34541398379,3321048
20192,1129061000,12021462013,763371
20192,1129062000,8663618825,587421
20192,1129063000,9378372516,628878
20192,1129064000,8335775384,562645
20192,1129065000,16189751371,885042
20192,1129066000,9179545175,429826
20192,1129068500,18712112174,633810
20192,1129070500,32288431577,1658333
20192,1129071500,12065781591,624001
20192,1129072500,21492549254,1568265
20192,1129076000,6769425027,428341
20192,1129077000,9985184396,437818
20192,1129078000,5400090180,272117
20192,1129081000,25850349175,1295571
20192,1130553400,13122744090,800912
20192,1130553500,34574591179,1901971
20192,1130554500,67226722470,2254405
20192,1130555500,31568872096,1506766
20192,1130557500,8475369498,455897
20192,1130559500,54023224952,2186170
20192,1130560300,5266289882,256662
20192,1130560800,11347462459,619698
20192,1130561500,28687457346,1289841
20192,1130562500,18701509718,1015267
20192,1130563500,63176874268,2696527
20192,1130564500,17615927176,786473
20192,1130566000,15081124731,925528
20192,1132051100,25156315874,1798529
20192,1132051200,15145623711,873310
20192,1132051300,10724276786,460348
20192,1132051400,23633074042,1371777
20192,1132051500,36168499952,1938370
20192,1132052100,40750123338,1570178
20192,1132052200,10539161768,560154
20192,1132066000,11194202328,897805
20192,1132067000,21686480200,1472843
20192,1132068000,16510636858,904438
20192,1132068100,9109459565,657859
20192,1132069000,39269052181,1703691
20192,1132070000,30266706497,1050555
20192,1132071000,10877027628,722940
20192,1135056000,21015335473,1561815
20192,1135057000,5878766058,445195
20192,1135058000,5027241522,373631
20192,1135059500,47024233086,2098571
20192,1135060000,29161561832,2590797
20192,1135061100,56838481416,2531379
20192,1135061200,4321633612,247770
20192,1135061900,30763579011,1391489
20192,1135062100,8677251202,434565
20192,1135062400,26585356118,1182771
20192,1135062500,122750781727,4404352
20192,1135063000,35390414738,1979231
20192,1135064000,81875834687,4038973
20192,1135066500,8801174635,536955
20192,1135067000,15207824131,904083
20192,1135069500,69292492264,3142219
20192,1135070000,10991726112,645874
20192,1135071000,13048539983,802418
20192,1135072000,3356810929,196860
20192,1138051000,26842474374,1114347
20192,1138052000,37288810381,1617136
20192,1138053000,21696318901,1111173
20192,1138055100,33206974082,2108790
20192,1138055200,43630926921,2377505
20192,1138056000,9927732723,693120
20192,1138057000,53037313584,2477537
20192,1138058000,36563368043,1679737
20192,1138059000,7618288606,542220
20192,1138060000,35965657058,1622979
20192,1138062500,29841026200,1803415
20192,1138063100,16957448890,1030286
20192,1138063200,7798775601,483301
20192,1138064000,10253667388,568813
20192,1138065000,3204520862,147580
20192,1138069000,19311343148,633522
20192,1141052000,13682649763,624720
20192,1141055500,11619892111,493851
20192,1141056500,23255026622,1696435
20192,1141058500,125431296790,7906232
20192,1141061500,51560619688,1933205
20192,1141062000,12753666867,747726
20192,1141064000,27309609673,1571120
20192,1141065500,5305393530,297421
20192,1141066000,10860939815,385848
20192,1141068500,16400211684,1165594
20192,1141069000,8152123582,375244
20192,1141070000,20093070808,1293954
20192,1141071000,3025726033,213597
20192,1141072000,32096729762,1501413
20192,1144055500,22807350217,1050067
20192,1144056500,34127680160,1486517
20192,1144058500,36416033745,1519913
20192,1144059000,55668869298,2163916
20192,1144060000,36803349063,2337458
20192,1144061000,12192308607,636072
20192,1144063000,19667950074,1015700
20192,1144065500,35060333182,2456867
20192,1144066000,291646916128,13686768
20192,1144068000,56089857571,2964556
20192,1144069000,33652736712,2263681
20192,1144070000,19880522024,1138484
20192,1144071000,30889385723,1577392
20192,1144072000,32689581698,1199031
20192,1144073000,33293604091,2214412
20192,1144074000,65512662778,4262551
20192,1147051000,63557682157,2400213
20192,1147052000,22796534379,1315414
20192,1147053000,29196828509,1465806
20192,1147054000,24582700577,994622
20192,1147055000,34405348804,1372261
20192,1147056000,21079021066,1088429
20192,1147057000,16894632548,797418
20192,1147058000,5759893179,347922
20192,1147059000,12159139827,688376
20192,1147060000,7253761455,386451
20192,1147061000,9037383398,443043
20192,1147061100,13627275236,815111
20192,1147062000,26130750557,1114352
