기준_년분기_코드,YYYYMM,행정동코드,행정동_코드_명,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가
20242.0,202406,1144074000,상암동,190,1052,727,361,0,0,66,476838167
20242.0,202406,1147051000,목1동,102,495,424,137,82,10,74,796337543
20242.0,202406,1147052000,목2동,785,5568,1186,125,101,6,53,188087838
20242.0,202406,1147053000,목3동,453,3404,581,64,19,4,52,184229085
20242.0,202406,1147054000,목4동,505,3204,1017,89,46,5,55,189827888
20242.0,202406,1147055000,목5동,191,327,1229,376,353,7,100,1342723822
20242.0,202406,1147056000,신월1동,380,3089,466,6,2,0,49,125505363
20242.0,202406,1147057000,신월2동,358,2480,1118,77,2,0,56,169126179
20242.0,202406,1147058000,신월3동,231,1889,280,11,0,0,46,114670938
20242.0,202406,1147059000,신월4동,278,2000,1031,13,0,0,57,168479350
20242.0,202406,1147060000,신월5동,299,2110,695,38,7,1,53,141762970
20242.0,202406,1147061000,신월6동,133,811,469,32,0,0,57,274722385
20242.0,202406,1147061100,신월7동,616,4788,204,0,0,0,42,100738599
20242.0,202406,1147062000,신정1동,116,394,360,443,85,0,83,857356012
20242.0,202406,1147063000,신정2동,99,437,487,133,0,0,65,447255961
20242.0,202406,1147064000,신정3동,335,2020,1080,320,12,0,65,361746184
20242.0,202406,1147065000,신정4동,745,5227,1413,93,2,0,52,157597172
20242.0,202406,1147067000,신정6동,83,168,310,395,91,29,97,1106384082
20242.0,202406,1147068000,신정7동,121,586,612,106,33,22,70,582260300
20242.0,202406,1150051000,염창동,248,1187,1333,168,73,4,70,416686264
20242.0,202406,1150052000,등촌1동,182,1336,590,30,0,0,54,234537129
20242.0,202406,1150053000,등촌2동,391,2789,722,116,102,72,56,218053706
20242.0,202406,1150053500,등촌3동,125,1089,252,104,42,0,57,342211620
20242.0,202406,1150054000,화곡1동,1192,9634,1689,58,4,0,49,140481784
20242.0,202406,1150055000,화곡2동,517,4242,410,12,7,0,50,127620236
20242.0,202406,1150056000,화곡3동,344,2085,605,317,205,12,62,234116665
20242.0,202406,1150057000,화곡4동,537,4303,597,24,0,0,49,134309833
20242.0,202406,1150059000,화곡본동,1170,9392,961,21,1,0,50,123876906
20242.0,202406,1150059100,화곡6동,448,3253,699,113,67,60,55,170034732
20242.0,202406,1150059300,화곡8동,816,6241,1024,19,1,0,52,130703775
20242.0,202406,1150060300,가양1동,148,906,552,117,99,0,66,396996811
20242.0,202406,1150060400,가양2동,53,452,48,108,0,0,52,317356775
20242.0,202406,1150060500,가양3동,60,614,71,9,0,0,49,336108207
20242.0,202406,1150061100,발산1동,398,2621,1365,67,23,0,59,271140993
20242.0,202406,1150061500,우장산동,507,2889,1611,450,39,0,63,319276578
20242.0,202406,1150062000,공항동,368,2913,562,8,1,0,47,207503846
20242.0,202406,1150063000,방화1동,394,2478,1301,281,0,0,60,323331374
20242.0,202406,1150064000,방화2동,248,1944,446,48,0,0,51,195195964
20242.0,202406,1150064100,방화3동,139,881,361,135,118,0,63,262029835
20242.0,202406,1153051000,신도림동,134,455,728,196,158,36,85,636584154
20242.0,202406,1153052000,구로1동,69,260,530,65,1,0,73,399227070
20242.0,202406,1153053000,구로2동,265,1984,437,14,2,2,49,177466374
20242.0,202406,1153054000,구로3동,459,2789,340,74,0,0,48,138758246
20242.0,202406,1153055000,구로4동,539,3236,244,4,1,0,46,114177005
20242.0,202406,1153056000,구로5동,131,754,424,104,30,36,65,291594059
20242.0,202406,1153059500,가리봉동,178,1027,128,12,17,36,69,185911126
20242.0,202406,1153072000,고척1동,181,1272,602,25,12,0,59,238203387
20242.0,202406,1153073000,고척2동,276,2197,577,107,0,0,56,189698484
20242.0,202406,1153074000,개봉1동,415,3054,711,75,72,0,55,170691909
20242.0,202406,1153075000,개봉2동,479,3233,1214,202,12,0,58,193683448
20242.0,202406,1153076000,개봉3동,431,3575,711,24,0,0,53,155760606
20242.0,202406,1153077000,오류1동,206,1645,395,103,1,0,55,158478976
20242.0,202406,1153078000,오류2동,366,3282,1396,170,13,0,59,244582574
20242.0,202406,1153079000,수궁동,426,4201,1407,84,13,0,57,175786153
20242.0,202406,1153080000,항동,101,677,458,88,12,24,70,300065423
20242.0,202406,1154551000,가산동,173,1529,361,15,24,5,50,173249223
20242.0,202406,1154561000,독산1동,217,1759,672,53,8,4,56,245696062
20242.0,202406,1154562000,독산2동,312,2524,339,2,1,0,50,135091578
20242.0,202406,1154563000,독산3동,394,2975,815,61,0,0,52,158539229
20242.0,202406,1154564000,독산4동,250,1755,517,6,0,0,54,143761339
20242.0,202406,1154567000,시흥1동,381,2974,653,65,24,0,53,180948067
20242.0,202406,1154568000,시흥2동,84,427,292,245,0,0,74,275637280
20242.0,202406,1154569000,시흥3동,234,2042,809,20,0,0,57,164661707
20242.0,202406,1154570000,시흥4동,351,2661,682,50,0,0,53,139154099
20242.0,202406,1154571000,시흥5동,232,2060,348,6,0,0,50,158427139
20242.0,202406,1156051500,영등포본동,221,1259,505,13,0,0,55,265100867
20242.0,202406,1156053500,영등포동,123,894,285,73,37,0,49,328420925
20242.0,202406,1156054000,여의동,100,66,265,367,398,152,126,1400319048
20242.0,202406,1156055000,당산1동,102,684,293,37,18,0,52,342612455
20242.0,202406,1156056000,당산2동,209,1093,696,275,146,0,69,525836586
20242.0,202406,1156058500,도림동,131,805,288,20,8,0,55,209452170
20242.0,202406,1156060500,문래동,99,332,559,215,76,11,87,674800000
20242.0,202406,1156061000,양평1동,66,482,149,30,0,0,53,314493630
20242.0,202406,1156062000,양평2동,182,1562,474,38,3,0,48,261626373
20242.0,202406,1156063000,신길1동,142,1040,257,47,0,0,49,217210138
20242.0,202406,1156065000,신길3동,75,463,239,5,0,0,57,374597267
20242.0,202406,1156066000,신길4동,87,293,115,78,21,6,83,247336978
20242.0,202406,1156067000,신길5동,91,631,144,54,0,0,57,245273564
20242.0,202406,1156068000,신길6동,121,712,408,15,9,1,58,326160022
20242.0,202406,1156069000,신길7동,64,452,343,36,24,0,67,580827492
