YYYYMM,행정동코드,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,행정동이름,AREA_M2,LAT,LON,전체승객수,지하철승객수,버스승객수,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_평균_면적,아파트_평균_시가,M2,KOSPI,HOUSE_SALE,RENT_SALE,FX,생활인구합계
202408,1117065000,73247329978.0,2990576.0,40889919881.0,32357410097.0,41859349957.0,26122576632.0,이태원제1동,533547,126.99325,37.53339,546750,334713,212037,70,221,95.0,109,85.0,101.0,98.0,632786445,3834303.6,2647.99,91.47,96.173,1354.15,12496882
202408,1117066000,16730660722.0,663373.0,11244018415.0,5486642307.0,8021826019.0,6770347104.0,이태원제2동,891712,126.99213,37.54166,134573,0,134573,169,589,320.0,83,132.0,77.0,81.0,436270648,3834303.6,2647.99,91.47,96.173,1354.15,8715676
202408,1117068500,91851914898.0,2347243.0,65471047048.0,26380867850.0,38800468239.0,39994785987.0,한남동,3194899,127.0058,37.5371,1077789,330241,747548,414,1046,592.0,255,266.0,918.0,112.0,1309674189,3834303.6,2647.99,91.47,96.173,1354.15,19911234
202408,1117069000,3263551192.0,138340.0,2482522812.0,781028380.0,1899160295.0,901526547.0,서빙고동,2917053,126.98838,37.52247,257700,35664,222036,158,463,283.0,69,162.0,171.0,82.0,931218213,3834303.6,2647.99,91.47,96.173,1354.15,11133861
202408,1117070000,10715757552.0,479601.0,7960262209.0,2755495343.0,5321671752.0,4513091320.0,보광동,872912,127.00126,37.52587,119724,0,119724,144,653,216.0,18,12.0,0.0,53.0,751925365,3834303.6,2647.99,91.47,96.173,1354.15,4702573
202408,1120052000,13453151735.0,501185.0,10627266800.0,2825884936.0,5430451969.0,7194236637.0,왕십리제2동,334371,127.02769,37.5615,543983,403386,140597,69,320,285.0,92,4.0,0.0,70.0,474130064,3834303.6,2647.99,91.47,96.173,1354.15,13695357
202408,1120053500,40451202239.0,1259674.0,32323179237.0,8128023001.0,22055842668.0,15174006839.0,왕십리도선동,721844,127.02957,37.56679,250002,0,250002,108,455,555.0,124,24.0,0.0,70.0,658527615,3834303.6,2647.99,91.47,96.173,1354.15,16499197
202408,1120054000,25321168582.0,1084892.0,19599629550.0,5721539031.0,13439046274.0,7821858741.0,마장동,1127258,127.04049,37.56764,348474,161370,187104,125,921,405.0,55,50.0,12.0,57.0,313147656,3834303.6,2647.99,91.47,96.173,1354.15,14679623
202408,1120055000,37544205104.0,3513057.0,29529579912.0,8014625192.0,19154863153.0,12455936935.0,사근동,1154150,127.04543,37.55801,468592,292133,176459,102,689,181.0,19,1.0,0.0,44.0,170903029,3834303.6,2647.99,91.47,96.173,1354.15,14070401
202408,1120056000,40073838786.0,1625602.0,30494786352.0,9579052434.0,18219149459.0,19287995864.0,행당제1동,566619,127.03606,37.55902,1284556,849019,435537,84,324,294.0,99,0.0,0.0,68.0,483661187,3834303.6,2647.99,91.47,96.173,1354.15,9604696
202408,1120057000,5943784235.0,333100.0,4575861063.0,1367923172.0,2521736105.0,3271295564.0,행당제2동,479532,127.0295,37.55668,398032,224246,173786,97,431,426.0,269,3.0,0.0,79.0,645518275,3834303.6,2647.99,91.47,96.173,1354.15,17940024
202408,1120058000,2717921275.0,141794.0,2147605502.0,570315773.0,1324360622.0,1266667936.0,응봉동,563044,127.03398,37.55099,143639,25893,117746,215,1258,260.0,169,0.0,0.0,56.0,269799393,3834303.6,2647.99,91.47,96.173,1354.15,8086530
202408,1120059000,4588292316.0,192553.0,3691490785.0,896801532.0,2176151548.0,2203570023.0,금호1가동,407653,127.02506,37.55367,304726,177829,126897,193,1037,332.0,125,0.0,0.0,54.0,308385556,3834303.6,2647.99,91.47,96.173,1354.15,10392985
202408,1120061500,18174760789.0,831710.0,13479199832.0,4695560958.0,8185310753.0,8787983055.0,금호2.3가동,665732,127.01989,37.55143,159688,0,159688,227,1192,505.0,117,0.0,0.0,60.0,365230604,3834303.6,2647.99,91.47,96.173,1354.15,13896027
202408,1120062000,17081095642.0,628968.0,13422108757.0,3658986885.0,7835755707.0,8607594850.0,금호4가동,930024,127.0246,37.54459,457571,223796,233775,82,324,376.0,129,11.0,0.0,77.0,803074557,3834303.6,2647.99,91.47,96.173,1354.15,9565481
202408,1120064500,11088331864.0,296263.0,8843604495.0,2244727368.0,4518001569.0,5875190594.0,옥수동,1250869,127.01618,37.54197,484082,249077,235005,126,383,544.0,246,138.0,65.0,93.0,884172349,3834303.6,2647.99,91.47,96.173,1354.15,17696299
202408,1120065000,20560573972.0,980017.0,15524042929.0,5036531043.0,8972098984.0,8076433461.0,성수1가제1동,2238042,127.04104,37.54042,382378,213622,168756,122,686,442.0,8,18.0,12.0,61.0,736732428,3834303.6,2647.99,91.47,96.173,1354.15,15837252
202408,1120066000,61394888877.0,2391561.0,48025561315.0,13369327561.0,24785063070.0,26799087211.0,성수1가제2동,977066,127.04395,37.54907,807588,686371,121217,68,474,251.0,18,0.0,0.0,57.0,465824238,3834303.6,2647.99,91.47,96.173,1354.15,13603451
202408,1120067000,84404863371.0,2751066.0,58401881134.0,26002982237.0,33250166278.0,42757866477.0,성수2가제1동,1150487,127.05528,37.53666,185050,0,185050,110,858,290.0,41,25.0,1.0,59.0,579181643,3834303.6,2647.99,91.47,96.173,1354.15,15003709
202408,1120069000,123000000000.0,5936009.0,95891865795.0,27100147622.0,48215915574.0,52541877126.0,성수2가제3동,1046168,127.05814,37.54554,1407468,1214805,192663,78,473,189.0,116,0.0,0.0,57.0,394279969,3834303.6,2647.99,91.47,96.173,1354.15,20879756
202408,1120072000,7589365277.0,307592.0,6106899450.0,1482465827.0,4478251197.0,2262060234.0,송정동,587634,127.0657,37.55233,93405,0,93405,68,536,116.0,18,0.0,0.0,50.0,229184261,3834303.6,2647.99,91.47,96.173,1354.15,5204786
202408,1120079000,33660752139.0,1823102.0,26689694653.0,6971057485.0,16176233757.0,11734969852.0,용답동,2372731,127.05785,37.55854,1248991,1020954,228037,54,286,91.0,7,0.0,0.0,56.0,255078831,3834303.6,2647.99,91.47,96.173,1354.15,16817554
202408,1121571000,88664383915.0,4965388.0,63398705834.0,25265678081.0,40830385634.0,42256039777.0,화양동,1178002,127.07346,37.54327,1783580,1399716,383864,195,1629,174.0,18,1.0,0.0,34.0,148077507,3834303.6,2647.99,91.47,96.173,1354.15,25251639
202408,1121573000,40274448870.0,1773429.0,31064913784.0,9209535086.0,23562583616.0,13640036179.0,군자동,734486,127.07368,37.55307,294315,0,294315,233,1578,444.0,55,28.0,3.0,51.0,206472588,3834303.6,2647.99,91.47,96.173,1354.15,18564666
